title,keywords,session_year,supervisor_name,category
Community-Based Study on Knowledge and Practice of Family Planning Methods Among Residents of Ife East Local Government,"family planning, knowledge, practice, married women, Ife Central",2017,Dr. Akindele,Maternal & Child Health
Retrospective Review of Solid Waste Management Practices and Health Implications in Osogbo Urban Local Government Area Among Residents of Osogbo Local Government,"solid waste, management, health implications, Osogbo, urban",2020,Dr. Folarin,Environmental Health
Retrospective Review of Child Immunization Coverage and Barriers to Vaccine Uptake in Osun State Local Government Areas Among Residents of Ilesa Local Government,"immunization, coverage, barriers, vaccine uptake, Osun State",2022,Prof. Adesanya,Maternal & Child Health
Prevalence and Genotyping of Human Papillomavirus Among Women Attending Cervical Cancer Screening,"human papillomavirus, cervical cancer, genotyping, screening, prevalence",2020,Prof. Okafor,Infectious Diseases
A Descriptive Analysis of Principal Component Analysis of Socioeconomic Determinants of Health Outcomes in Southwest Nigeria Among Residents of Ede Local Government,"principal component analysis, socioeconomic determinants, health outcomes, Nigeria",2019,Dr. Babatunde,Biostatistics
Retrospective Review of Stakeholder Perceptions of Universal Health Coverage Implementation in Osun State Nigeria Among Residents of Iwo Local Government,"universal health coverage, stakeholders, perceptions, implementation, Nigeria",2015,Dr. Babatunde,Health Policy
An Exploratory Analysis of Principal Component Analysis of Socioeconomic Determinants of Health Outcomes in Southwest Nigeria Among Residents of Iwo Local Government,"principal component analysis, socioeconomic determinants, health outcomes, Nigeria",2016,Dr. Okonkwo,Biostatistics
Evaluation of Food Safety Practices in Open-Air Markets and Restaurants in Osogbo Metropolis,"food safety, open-air markets, restaurants, evaluation, Osogbo",2017,Prof. Onyeka,Environmental Health
A Cross-Sectional Study of Evaluation of Drinking Water Treatment Practices in Households of Peri-Urban Osun State Communities Among Residents of Osogbo Local Government,"drinking water, treatment practices, households, peri-urban, Osun",2016,Dr. Folarin,Environmental Health
Retrospective Review of Burden and Distribution of Schistosomiasis Among Residents of Ife South Local Government,"schistosomiasis, children, distribution, burden, rural",2020,Dr. Agboola,Epidemiology
An Exploratory Analysis of Bayesian Statistical Approach for Small Area Estimation of Disease Burden in Osun State Communities Among Residents of Ife South Local Government,"Bayesian statistics, small area estimation, disease burden, Osun, communities",2017,Dr. Salawu,Biostatistics
Comparative Study of Lead Exposure Assessment and Neurological Effects Among Residents of Ife East Local Government,"lead exposure, neurological effects, children, battery recycling, assessment",2020,Dr. Adeyemi,Environmental Health
Comparative Study of Evaluation of Rapid Diagnostic Test Use for Malaria Case Management in Osun Primary Health Centers Among Residents of Ejigbo Local Government,"rapid diagnostic test, malaria, case management, primary health, Osun",2021,Dr. Nnamdi,Infectious Diseases
An Exploratory Analysis of Review of Immunization Policy Compliance and Vaccination Coverage in Osun State Communities Among Residents of Ife South Local Government,"immunization policy, compliance, vaccination coverage, Osun, communities",2020,Prof. Adewale,Health Policy
A Descriptive Analysis of Tuberculosis Treatment Default Rate and Associated Factors in DOTS Centres Osun State Nigeria Among Residents of Ede Local Government,"tuberculosis, treatment default, DOTS, Osun State, associated factors",2015,Dr. Oluwaseun,Infectious Diseases
A Descriptive Analysis of Antibiotic Resistance Patterns of Bacterial Isolates from Urinary Tract Infections in Osun Hospitals Among Residents of Ede Local Government,"antibiotic resistance, bacterial isolates, urinary tract infection, Osun, hospitals",2020,Dr. Igwe,Infectious Diseases
Hospital-Based Assessment of Impact of Free Maternal Health Policy on Antenatal Care Utilization in Osun State Nigeria Among Residents of Boripe Local Government,"maternal health policy, antenatal care, utilization, free health, Osun",2022,Dr. Igwe,Health Policy
Community-Based Study on Assessment of Kangaroo Mother Care Practice and Neonatal Outcomes in Osun State Hospitals Among Residents of Iwo Local Government,"kangaroo mother care, neonatal outcomes, practice, Osun State, hospitals",2018,Dr. Adeyemi,Maternal & Child Health
A Descriptive Analysis of Vector Breeding Site Assessment and Malaria Risk in Flood-Prone Areas of Osun State Nigeria Among Residents of Ilesa Local Government,"vector breeding, malaria risk, flood-prone, Osun State, assessment",2018,Prof. Afolabi,Environmental Health
Evaluation of Drinking Water Treatment Practices in Households of Peri-Urban Osun State Communities,"drinking water, treatment practices, households, peri-urban, Osun",2022,Prof. Okafor,Environmental Health
Community-Based Study on Epidemiological Profile of Diabetes Mellitus Patients Attending Primary Healthcare Centers in Osun Among Residents of Ejigbo Local Government,"diabetes mellitus, epidemiology, primary healthcare, Osun State",2019,Prof. Adebayo,Epidemiology
Community-Based Study on Assessment of Household Water Quality and Waterborne Disease Risk in Peri-Urban Osogbo Nigeria Among Residents of Iwo Local Government,"water quality, household, waterborne disease, peri-urban, Osogbo",2022,Dr. Abiodun,Environmental Health
Household Air Quality Monitoring and Respiratory Outcomes in Low-Income Areas of Osogbo Nigeria,"household air quality, respiratory outcomes, low-income, monitoring, Osogbo",2019,Dr. Folarin,Environmental Health
Community Perception of Caesarean Section and Its Effect on Surgical Birth Rate in Osun State,"caesarean section, community perception, surgical birth rate, Osun, Nigeria",2020,Dr. Oluwaseun,Maternal & Child Health
Community-Based Study on Tobacco Control Policy Awareness and Compliance Among Residents of Ilesa Local Government,"tobacco control, policy compliance, market vendors, Osogbo, awareness",2019,Dr. Akindele,Health Policy
A Cross-Sectional Study of Anemia in Pregnancy Prevalence and Its Effect on Birth Outcomes in Southwest Nigerian Hospitals Among Residents of Ede Local Government,"anaemia in pregnancy, birth outcomes, Southwest Nigeria, hospitals, prevalence",2022,Dr. Chukwu,Maternal & Child Health
Review of Immunization Policy Compliance and Vaccination Coverage in Osun State Communities,"immunization policy, compliance, vaccination coverage, Osun, communities",2016,Dr. Nnamdi,Health Policy
A Descriptive Analysis of Developing a Predictive Scoring Tool for Maternal Complications Using Routine Obstetric Data Nigeria Among Residents of Boripe Local Government,"predictive scoring, maternal complications, routine data, obstetric, Nigeria",2020,Dr. Abiodun,Biostatistics
Longitudinal Investigation of Evaluation of Rapid Diagnostic Test Use for Malaria Case Management in Osun Primary Health Centers Among Residents of Ejigbo Local Government,"rapid diagnostic test, malaria, case management, primary health, Osun",2018,Dr. Okonkwo,Infectious Diseases
An Exploratory Analysis of Trend Analysis of Tuberculosis Case Notifications in Osun State Over a Ten-Year Period Among Residents of Ede Local Government,"tuberculosis, trend analysis, case notification, Osun State",2015,Dr. Adeyemi,Epidemiology
A Cross-Sectional Study of Impact of Flooding Events on Waterborne Disease Incidence in Osun State Flood Corridors Among Residents of Ife North Local Government,"flooding, waterborne disease, incidence, Osun State, flood corridors",2015,Dr. Nwachukwu,Environmental Health
An Exploratory Analysis of Prevalence of Hepatitis C Virus Antibodies Among Residents of Boripe Local Government,"hepatitis C, prevalence, antibodies, surgical wards, Osogbo",2016,Dr. Akindele,Infectious Diseases
Community-Based Study on Knowledge Attitude and Practice Regarding Lassa Fever Prevention Among Residents of Ife East Local Government,"Lassa fever, knowledge, attitude, practice, healthcare workers",2017,Dr. Agboola,Infectious Diseases
A Cross-Sectional Study of Burden and Distribution of Schistosomiasis Among Residents of Ife South Local Government,"schistosomiasis, children, distribution, burden, rural",2021,Prof. Adewale,Epidemiology
A Cross-Sectional Study of Application of Machine Learning Algorithms in Predicting Hypertension Onset in Nigerian Adults Among Residents of Osogbo Local Government,"machine learning, hypertension prediction, Nigerian adults, algorithms, biostatistics",2016,Prof. Adewale,Biostatistics
Comparative Study of Prevalence and Genotyping of Human Papillomavirus Among Residents of Ife South Local Government,"human papillomavirus, cervical cancer, genotyping, screening, prevalence",2015,Prof. Obiora,Infectious Diseases
Community-Based Study on Gonorrhoea and Syphilis Co-Infection Prevalence Among Residents of Ede Local Government,"gonorrhoea, syphilis, co-infection, antenatal clinic, Osogbo",2017,Dr. Abiodun,Infectious Diseases
Longitudinal Investigation of Assessment of Childhood Immunization Against Vaccine-Preventable Diseases in UNIOSUN Catchment Areas Among Residents of Boripe Local Government,"childhood immunization, vaccine-preventable diseases, UNIOSUN, catchment area",2017,Prof. Adeoti,Infectious Diseases
Community-Based Study on Under-Five Malnutrition Prevalence and Its Relationship with Household Food Security in Nigeria Among Residents of Ife North Local Government,"malnutrition, under-five, food security, household, Nigeria",2021,Prof. Onyeka,Maternal & Child Health
Longitudinal Investigation of Heavy Metal Contamination of Borehole Water Sources in Industrial Areas of Osun State Nigeria Among Residents of Ede Local Government,"heavy metals, borehole, contamination, industrial, water safety",2018,Dr. Agboola,Environmental Health
Community-Based Study on Coverage and Equity of Childhood Vaccination Services in Hard-to-Reach Areas of Osun State Among Residents of Ejigbo Local Government,"childhood vaccination, coverage, equity, hard-to-reach, Osun State",2020,Prof. Emeka,Maternal & Child Health
An Exploratory Analysis of Assessment of Exclusive Breastfeeding Practices and Infant Nutritional Outcomes in Osun State Among Residents of Ilesa Local Government,"exclusive breastfeeding, infant nutrition, practices, Osun State, outcomes",2020,Prof. Emeka,Maternal & Child Health
Comparative Study of Sensitivity and Specificity Analysis of Diagnostic Tests for Malaria in UNIOSUN Teaching Hospital Among Residents of Ilesa Local Government,"sensitivity, specificity, diagnostic tests, malaria, UNIOSUN",2022,Dr. Babatunde,Biostatistics
A Cross-Sectional Study of Epidemiological Study of Eye Diseases and Visual Impairment Among Residents of Ife East Local Government,"eye diseases, visual impairment, adults, rural, Osun",2019,Prof. Fasola,Epidemiology
Community-Based Study on Developing a Predictive Scoring Tool for Maternal Complications Using Routine Obstetric Data Nigeria Among Residents of Ilesa Local Government,"predictive scoring, maternal complications, routine data, obstetric, Nigeria",2022,Prof. Eze,Biostatistics
An Exploratory Analysis of Analysis of Drug Procurement Policy and Essential Medicines Availability at Public Health Facilities Among Residents of Iwo Local Government,"drug procurement, essential medicines, policy, availability, public health",2019,Dr. Adeyemi,Health Policy
Comparative Study of Assessment of Primary Healthcare Governance and Accountability Mechanisms in Southwest Nigeria Among Residents of Ilesa Local Government,"primary healthcare, governance, accountability, Southwest Nigeria, policy",2016,Dr. Abiodun,Health Policy
Community-Based Study on Solid Waste Management Practices and Health Implications in Osogbo Urban Local Government Area Among Residents of Iwo Local Government,"solid waste, management, health implications, Osogbo, urban",2022,Dr. Akindele,Environmental Health
A Cross-Sectional Study of Gender-Responsive Health Policy Analysis and Women Empowerment in Osun State Communities Among Residents of Ilesha Local Government,"gender-responsive, health policy, women empowerment, Osun, analysis",2022,Dr. Olayinka,Health Policy
Stakeholder Perceptions of Universal Health Coverage Implementation in Osun State Nigeria,"universal health coverage, stakeholders, perceptions, implementation, Nigeria",2016,Dr. Agboola,Health Policy
Community-Based Study on Spatial Analysis of Malaria Incidence Using Geographic Information Systems in Osun State Among Residents of Ilesha Local Government,"spatial analysis, GIS, malaria incidence, Osun State, geographic",2017,Prof. Adewale,Biostatistics
A Cross-Sectional Study of Evaluation of Rapid Diagnostic Test Use for Malaria Case Management in Osun Primary Health Centers Among Residents of Ilesa Local Government,"rapid diagnostic test, malaria, case management, primary health, Osun",2015,Prof. Adesanya,Infectious Diseases
Retrospective Review of Regulatory Framework for Traditional Medicine Practice in Osun State Health Policy Context Among Residents of Ife South Local Government,"traditional medicine, regulation, policy, Osun State, practice",2016,Dr. Okonkwo,Health Policy
A Descriptive Analysis of Maternal Mortality Ratio and Causes of Death in Osun State Teaching Hospitals from 2015 to 2020 Among Residents of Ede Local Government,"maternal mortality, causes of death, teaching hospital, Osun State, ratio",2021,Prof. Fasola,Maternal & Child Health
Hospital-Based Assessment of Epidemiology of Road Traffic Injuries and Fatalities in Urban Communities of Southwest Nigeria Among Residents of Ife South Local Government,"road traffic injuries, fatalities, urban, epidemiology, Southwest",2018,Prof. Afolabi,Epidemiology
Comparative Study of Effect of Male Partner Involvement on Maternal Health Service Utilization in Osun State Communities Among Residents of Boripe Local Government,"male involvement, maternal health, service utilization, Osun State, partner",2021,Prof. Ogunleye,Maternal & Child Health
Retrospective Review of Evaluation of Drinking Water Treatment Practices in Households of Peri-Urban Osun State Communities Among Residents of Ife South Local Government,"drinking water, treatment practices, households, peri-urban, Osun",2018,Dr. Chukwu,Environmental Health
Comparative Study of Effect of Hospital Autonomy Policy on Service Delivery Quality in Osun State General Hospitals Among Residents of Ife East Local Government,"hospital autonomy, service delivery, quality, policy, Osun State",2019,Prof. Adebayo,Health Policy
Policy Analysis of Community Health Extension Worker Deployment in Rural Osun State Communities,"CHEW, deployment, health policy, rural, community health",2019,Prof. Adeleke,Health Policy
A Descriptive Analysis of Environmental Health Impact Assessment of a Proposed Industrial Estate in Osun State Nigeria Among Residents of Ife East Local Government,"environmental health impact, industrial estate, assessment, Osun State, Nigeria",2017,Dr. Abiodun,Environmental Health
Community-Based Study on Mercury Exposure and Health Risk Assessment Among Residents of Boripe Local Government,"mercury exposure, gold mining, health risk, artisanal, Osun State",2020,Prof. Okafor,Environmental Health
A Descriptive Analysis of Socioeconomic Factors and Teenage Pregnancy Prevalence Among Residents of Boripe Local Government,"teenage pregnancy, socioeconomic, secondary school, prevalence, Osun State",2018,Dr. Igwe,Maternal & Child Health
Retrospective Review of Political Determinants of Health Budget Allocation in Osun State Government Annual Estimates Among Residents of Ife South Local Government,"health budget, political determinants, allocation, Osun State, government",2017,Dr. Igwe,Health Policy
A Cross-Sectional Study of Evaluation of Food Safety Practices in Open-Air Markets and Restaurants in Osogbo Metropolis Among Residents of Ilesha Local Government,"food safety, open-air markets, restaurants, evaluation, Osogbo",2021,Dr. Babatunde,Environmental Health
Application of Poisson Regression in Modelling Infectious Disease Count Data in Nigeria,"Poisson regression, infectious disease, count data, modelling, Nigeria",2019,Prof. Ogunleye,Biostatistics
Comparative Study of Statistical Modelling of Maternal Mortality Predictors at UNIOSUN Teaching Hospital Nigeria Among Residents of Ede Local Government,"statistical modelling, maternal mortality, predictors, UNIOSUN, Nigeria",2016,Prof. Fasola,Biostatistics
An Exploratory Analysis of Prevalence of Overweight and Obesity Among Residents of Ife East Local Government,"overweight, obesity, adolescents, secondary school, Osogbo",2017,Prof. Adeoti,Epidemiology
Comparative Study of Prevalence of Hepatitis C Virus Antibodies Among Residents of Iwo Local Government,"hepatitis C, prevalence, antibodies, surgical wards, Osogbo",2022,Dr. Chukwu,Infectious Diseases
A Descriptive Analysis of Gestational Diabetes Prevalence and Management Practices Among Residents of Ife North Local Government,"gestational diabetes, prevalence, management, pregnant women, Osogbo",2015,Dr. Babatunde,Maternal & Child Health
Retrospective Review of Nutritional Status and Cognitive Development Among Residents of Ilesha Local Government,"nutritional status, cognitive development, primary school, children, Osun",2019,Dr. Olayinka,Maternal & Child Health
Retrospective Review of Gestational Diabetes Prevalence and Management Practices Among Residents of Ife East Local Government,"gestational diabetes, prevalence, management, pregnant women, Osogbo",2021,Dr. Salawu,Maternal & Child Health
Comparative Study of Community-Level HIV Stigma and Its Effect on Treatment Adherence Among Residents of Ife South Local Government,"HIV stigma, treatment adherence, community, PLHIV, effect",2018,Dr. Agboola,Infectious Diseases
An Exploratory Analysis of Coverage and Equity of Childhood Vaccination Services in Hard-to-Reach Areas of Osun State Among Residents of Ife East Local Government,"childhood vaccination, coverage, equity, hard-to-reach, Osun State",2018,Dr. Agboola,Maternal & Child Health
Retrospective Review of Analysis of Drug Procurement Policy and Essential Medicines Availability at Public Health Facilities Among Residents of Ife South Local Government,"drug procurement, essential medicines, policy, availability, public health",2021,Prof. Adeleke,Health Policy
Assessment of Exclusive Breastfeeding Practices and Infant Nutritional Outcomes in Osun State,"exclusive breastfeeding, infant nutrition, practices, Osun State, outcomes",2017,Dr. Igwe,Maternal & Child Health
Community-Based Study on Environmental Assessment of Noise Pollution and Hearing Loss Risk Near Industrial Zones in Osogbo Among Residents of Boripe Local Government,"noise pollution, hearing loss, industrial zones, environmental assessment, Osogbo",2022,Dr. Akinwande,Environmental Health
A Descriptive Analysis of Anemia in Pregnancy Prevalence and Its Effect on Birth Outcomes in Southwest Nigerian Hospitals Among Residents of Ilesha Local Government,"anaemia in pregnancy, birth outcomes, Southwest Nigeria, hospitals, prevalence",2021,Prof. Nwosu,Maternal & Child Health
Comparative Study of Policy Analysis of Community Health Extension Worker Deployment in Rural Osun State Communities Among Residents of Ife East Local Government,"CHEW, deployment, health policy, rural, community health",2018,Prof. Fasola,Health Policy
Comparative Study of Spatial Distribution and Seasonal Variation of Cholera Outbreaks in Osun State Nigeria Among Residents of Ife South Local Government,"cholera, spatial distribution, seasonal variation, outbreak, Nigeria",2015,Prof. Okafor,Epidemiology
Community-Based Study on Dengue Fever Seroprevalence and Associated Risk Factors in Flood-Prone Areas of Osun State Among Residents of Ife North Local Government,"dengue fever, seroprevalence, flood-prone, risk factors, Osun",2022,Dr. Abiodun,Epidemiology
An Exploratory Analysis of Contact Tracing Effectiveness and Outcomes in Tuberculosis Case Detection in Osun State Nigeria Among Residents of Iwo Local Government,"contact tracing, tuberculosis, case detection, outcomes, Osun State",2020,Prof. Adebayo,Infectious Diseases
An Exploratory Analysis of Analysis of Task-Shifting Policy for Health Workers in Low-Resource Settings of Southwest Nigeria Among Residents of Ife East Local Government,"task-shifting, health workers, low-resource, policy, Southwest Nigeria",2015,Dr. Akinwande,Health Policy
Hospital-Based Assessment of Intersectoral Collaboration for Social Determinants of Health Policy in Southwest Nigeria Among Residents of Ilesha Local Government,"intersectoral collaboration, social determinants, health policy, Southwest Nigeria",2022,Prof. Adeleke,Health Policy
Hospital-Based Assessment of Structural Equation Modelling of Social Determinants Affecting Health Outcomes in Osun State Nigeria Among Residents of Ife East Local Government,"structural equation modelling, social determinants, health outcomes, Osun, Nigeria",2020,Dr. Akindele,Biostatistics
Longitudinal Investigation of Epidemiology of Mental Health Disorders Among Residents of Ede Local Government,"mental health, epidemiology, adults, general hospital, disorders",2018,Dr. Abiodun,Epidemiology
Comparative Study of Prevalence of Birth Asphyxia and Contributing Factors in Neonatal Units of Osun State Hospitals Among Residents of Boripe Local Government,"birth asphyxia, prevalence, neonatal, contributing factors, Osun State",2016,Dr. Nnamdi,Maternal & Child Health
Retrospective Review of Maternal Mortality Ratio and Causes of Death in Osun State Teaching Hospitals from 2015 to 2020 Among Residents of Ejigbo Local Government,"maternal mortality, causes of death, teaching hospital, Osun State, ratio",2019,Prof. Adesanya,Maternal & Child Health
Impact of Open Defecation on Child Diarrhoeal Diseases in Rural Communities of Osun State,"open defecation, diarrhoea, children, rural, sanitation",2022,Dr. Igwe,Environmental Health
Comparative Study of Evaluation of Food Safety Practices in Open-Air Markets and Restaurants in Osogbo Metropolis Among Residents of Ife South Local Government,"food safety, open-air markets, restaurants, evaluation, Osogbo",2021,Dr. Akindele,Environmental Health
Longitudinal Investigation of Statistical Modelling of Maternal Mortality Predictors at UNIOSUN Teaching Hospital Nigeria Among Residents of Ede Local Government,"statistical modelling, maternal mortality, predictors, UNIOSUN, Nigeria",2016,Prof. Ogunleye,Biostatistics
An Exploratory Analysis of Analysis of Task-Shifting Policy for Health Workers in Low-Resource Settings of Southwest Nigeria Among Residents of Ejigbo Local Government,"task-shifting, health workers, low-resource, policy, Southwest Nigeria",2015,Prof. Adewale,Health Policy
Retrospective Review of Socioeconomic Factors and Teenage Pregnancy Prevalence Among Residents of Ilesa Local Government,"teenage pregnancy, socioeconomic, secondary school, prevalence, Osun State",2015,Dr. Babatunde,Maternal & Child Health
Retrospective Review of Household Air Quality Monitoring and Respiratory Outcomes in Low-Income Areas of Osogbo Nigeria Among Residents of Osogbo Local Government,"household air quality, respiratory outcomes, low-income, monitoring, Osogbo",2016,Dr. Nnamdi,Environmental Health
Retrospective Review of Community Perception of Caesarean Section and Its Effect on Surgical Birth Rate in Osun State Among Residents of Ife South Local Government,"caesarean section, community perception, surgical birth rate, Osun, Nigeria",2015,Dr. Igwe,Maternal & Child Health
A Cross-Sectional Study of Developing a Predictive Scoring Tool for Maternal Complications Using Routine Obstetric Data Nigeria Among Residents of Iwo Local Government,"predictive scoring, maternal complications, routine data, obstetric, Nigeria",2021,Dr. Salawu,Biostatistics
Longitudinal Investigation of E-Waste Disposal Practices and Toxic Exposure Among Residents of Ejigbo Local Government,"e-waste, disposal, toxic exposure, informal recyclers, Southwest Nigeria",2021,Prof. Onyeka,Environmental Health
A Cross-Sectional Study of Bayesian Statistical Approach for Small Area Estimation of Disease Burden in Osun State Communities Among Residents of Ife North Local Government,"Bayesian statistics, small area estimation, disease burden, Osun, communities",2019,Dr. Akinwande,Biostatistics
An Exploratory Analysis of Assessment of Meningitis Outbreak Response and Control Measures in Northern Osun Communities Among Residents of Ife North Local Government,"meningitis, outbreak, response, control, Osun",2015,Dr. Oluwaseun,Epidemiology
A Cross-Sectional Study of Analysis of Drug Procurement Policy and Essential Medicines Availability at Public Health Facilities Among Residents of Ife North Local Government,"drug procurement, essential medicines, policy, availability, public health",2021,Prof. Okafor,Health Policy
Hospital-Based Assessment of Community-Level HIV Stigma and Its Effect on Treatment Adherence Among Residents of Ejigbo Local Government,"HIV stigma, treatment adherence, community, PLHIV, effect",2018,Dr. Akinwande,Infectious Diseases
Sanitation Conditions and Hygiene Practices in Public Primary Schools of Osun State Nigeria,"sanitation, hygiene, primary schools, public schools, Osun State",2021,Dr. Adeyemi,Environmental Health
Retrospective Review of Intestinal Parasitic Infections Among Residents of Ife South Local Government,"intestinal parasites, schoolchildren, environmental risk, infections, Osun",2018,Prof. Onyeka,Infectious Diseases
A Cross-Sectional Study of National Health Act Implementation Status and Implications for Healthcare Delivery in Nigeria Among Residents of Ede Local Government,"National Health Act, implementation, healthcare delivery, Nigeria, implications",2022,Dr. Okonkwo,Health Policy
Comparative Study of Dengue Fever Seroprevalence and Associated Risk Factors in Flood-Prone Areas of Osun State Among Residents of Ede Local Government,"dengue fever, seroprevalence, flood-prone, risk factors, Osun",2021,Prof. Eze,Epidemiology
Comparative Study of Multilevel Modelling of Determinants of Child Mortality in Southwest Nigerian Communities Among Residents of Ilesha Local Government,"multilevel modelling, child mortality, determinants, Southwest Nigeria, biostatistics",2019,Prof. Adewale,Biostatistics
Longitudinal Investigation of Intersectoral Collaboration for Social Determinants of Health Policy in Southwest Nigeria Among Residents of Ife South Local Government,"intersectoral collaboration, social determinants, health policy, Southwest Nigeria",2018,Dr. Abiodun,Health Policy
Comparative Study of Health Financing Strategies and Their Effect on Out-of-Pocket Expenditure in Osun State Among Residents of Ife North Local Government,"health financing, out-of-pocket, expenditure, Osun State, strategy",2021,Dr. Babatunde,Health Policy
A Descriptive Analysis of Assessment of Meningitis Outbreak Response and Control Measures in Northern Osun Communities Among Residents of Ejigbo Local Government,"meningitis, outbreak, response, control, Osun",2022,Prof. Emeka,Epidemiology
Community-Based Study on Effect of Male Partner Involvement on Maternal Health Service Utilization in Osun State Communities Among Residents of Ede Local Government,"male involvement, maternal health, service utilization, Osun State, partner",2015,Prof. Fasola,Maternal & Child Health
Comparative Study of Assessment of Childhood Immunization Against Vaccine-Preventable Diseases in UNIOSUN Catchment Areas Among Residents of Iwo Local Government,"childhood immunization, vaccine-preventable diseases, UNIOSUN, catchment area",2021,Dr. Igwe,Infectious Diseases
Comparative Study of Incidence and Distribution of Typhoid Fever Cases Reported in UNIOSUN Teaching Hospital Among Residents of Ede Local Government,"typhoid fever, incidence, hospital, distribution, surveillance",2017,Prof. Adeleke,Epidemiology
Analysis of Drug Procurement Policy and Essential Medicines Availability at Public Health Facilities,"drug procurement, essential medicines, policy, availability, public health",2016,Prof. Adewale,Health Policy
A Descriptive Analysis of Infant and Young Child Feeding Practices Among Residents of Ife North Local Government,"infant feeding, young child, practices, urban mothers, Osogbo",2018,Prof. Fasola,Maternal & Child Health
A Cross-Sectional Study of Household Air Quality Monitoring and Respiratory Outcomes in Low-Income Areas of Osogbo Nigeria Among Residents of Ife East Local Government,"household air quality, respiratory outcomes, low-income, monitoring, Osogbo",2022,Dr. Olayinka,Environmental Health
Longitudinal Investigation of HIV Seroprevalence and Risk Behavior Among Residents of Iwo Local Government,"HIV, seroprevalence, risk behavior, female sex workers, Osogbo",2015,Prof. Emeka,Infectious Diseases
An Exploratory Analysis of Effect of Male Partner Involvement on Maternal Health Service Utilization in Osun State Communities Among Residents of Ife South Local Government,"male involvement, maternal health, service utilization, Osun State, partner",2020,Dr. Salawu,Maternal & Child Health
Hospital-Based Assessment of Epidemiological Assessment of Childhood Pneumonia Cases in UNIOSUN Teaching Hospital Outpatients Among Residents of Osogbo Local Government,"pneumonia, childhood, epidemiology, teaching hospital, outpatients",2017,Dr. Adeyemi,Epidemiology
Longitudinal Investigation of Community Perception of Caesarean Section and Its Effect on Surgical Birth Rate in Osun State Among Residents of Ife East Local Government,"caesarean section, community perception, surgical birth rate, Osun, Nigeria",2021,Prof. Okafor,Maternal & Child Health
Comparative Study of Antibiotic Resistance Patterns of Bacterial Isolates from Urinary Tract Infections in Osun Hospitals Among Residents of Iwo Local Government,"antibiotic resistance, bacterial isolates, urinary tract infection, Osun, hospitals",2021,Dr. Chukwu,Infectious Diseases
Comparative Study of Spatial Distribution and Seasonal Variation of Cholera Outbreaks in Osun State Nigeria Among Residents of Boripe Local Government,"cholera, spatial distribution, seasonal variation, outbreak, Nigeria",2022,Prof. Okafor,Epidemiology
Community-Based Study on Factor Analysis of Health System Barriers to Maternal Healthcare Utilization in Rural Osun State Among Residents of Boripe Local Government,"factor analysis, health system barriers, maternal healthcare, rural, Osun",2019,Dr. Chukwu,Biostatistics
Retrospective Review of Community Perception of Caesarean Section and Its Effect on Surgical Birth Rate in Osun State Among Residents of Iwo Local Government,"caesarean section, community perception, surgical birth rate, Osun, Nigeria",2016,Prof. Emeka,Maternal & Child Health
An Exploratory Analysis of Prevalence of Hepatitis C Virus Antibodies Among Residents of Ife East Local Government,"hepatitis C, prevalence, antibodies, surgical wards, Osogbo",2022,Prof. Onyeka,Infectious Diseases
Mercury Exposure and Health Risk Assessment Among Artisanal Gold Miners in Osun State Nigeria,"mercury exposure, gold mining, health risk, artisanal, Osun State",2018,Prof. Okafor,Environmental Health
An Exploratory Analysis of Occupational Hazard Exposure and Health Outcomes Among Residents of Ejigbo Local Government,"occupational hazard, automobile mechanics, health outcomes, exposure, Osogbo",2018,Dr. Abiodun,Environmental Health
A Descriptive Analysis of Gender-Responsive Health Policy Analysis and Women Empowerment in Osun State Communities Among Residents of Ife North Local Government,"gender-responsive, health policy, women empowerment, Osun, analysis",2015,Prof. Adesanya,Health Policy
Retrospective Review of Cultural Beliefs and Practices Influencing Maternal Healthcare Decision-Making in Ife South Communities Among Residents of Osogbo Local Government,"cultural beliefs, maternal healthcare, decision-making, Ife South, practices",2015,Dr. Akinwande,Maternal & Child Health
Policy Implementation Fidelity of the Integrated Disease Surveillance Response System in Nigeria,"IDSR, policy implementation, disease surveillance, fidelity, Nigeria",2022,Prof. Emeka,Health Policy
Retrospective Review of Stakeholder Perceptions of Universal Health Coverage Implementation in Osun State Nigeria Among Residents of Boripe Local Government,"universal health coverage, stakeholders, perceptions, implementation, Nigeria",2016,Dr. Igwe,Health Policy
An Exploratory Analysis of Burden and Distribution of Schistosomiasis Among Residents of Iwo Local Government,"schistosomiasis, children, distribution, burden, rural",2020,Prof. Adebayo,Epidemiology
Hospital-Based Assessment of Contact Tracing Effectiveness and Outcomes in Tuberculosis Case Detection in Osun State Nigeria Among Residents of Iwo Local Government,"contact tracing, tuberculosis, case detection, outcomes, Osun State",2019,Dr. Nwachukwu,Infectious Diseases
Comparative Study of Regulatory Framework for Traditional Medicine Practice in Osun State Health Policy Context Among Residents of Ilesha Local Government,"traditional medicine, regulation, policy, Osun State, practice",2020,Dr. Salawu,Health Policy
A Cross-Sectional Study of Assessment of Toilet Facilities Adequacy and Sanitation-Related Diseases in Rural Osun Communities Among Residents of Ilesa Local Government,"toilet facilities, sanitation, rural, diseases, assessment",2015,Prof. Adebayo,Environmental Health
A Cross-Sectional Study of Application of Poisson Regression in Modelling Infectious Disease Count Data in Nigeria Among Residents of Ilesa Local Government,"Poisson regression, infectious disease, count data, modelling, Nigeria",2019,Prof. Adeoti,Biostatistics
