title,keywords,session_year,supervisor_name,category
Prevalence of Anaemia and Associated Factors Among Pregnant Women in Ijesa Zone Nigeria,"anaemia, pregnant women, prevalence, Ijesa Zone, Nigeria",2021,Prof. Fasola,Epidemiology
A Cross-Sectional Study of Gender-Responsive Health Policy Analysis and Women Empowerment in Osun State Communities Among Residents of Iwo Local Government,"gender-responsive, health policy, women empowerment, Osun, analysis",2016,Prof. Okafor,Health Policy
Comparative Study of Epidemiological Study of Eye Diseases and Visual Impairment Among Residents of Iwo Local Government,"eye diseases, visual impairment, adults, rural, Osun",2017,Prof. Afolabi,Epidemiology
A Descriptive Analysis of Prevalence of Overweight and Obesity Among Residents of Iwo Local Government,"overweight, obesity, adolescents, secondary school, Osogbo",2017,Dr. Nnamdi,Epidemiology
An Exploratory Analysis of Heavy Metal Contamination of Borehole Water Sources in Industrial Areas of Osun State Nigeria Among Residents of Osogbo Local Government,"heavy metals, borehole, contamination, industrial, water safety",2020,Dr. Babatunde,Environmental Health
Community-Based Study on Application of Machine Learning Algorithms in Predicting Hypertension Onset in Nigerian Adults Among Residents of Ife South Local Government,"machine learning, hypertension prediction, Nigerian adults, algorithms, biostatistics",2019,Prof. Afolabi,Biostatistics
Hospital-Based Assessment of Review of Immunization Policy Compliance and Vaccination Coverage in Osun State Communities Among Residents of Ife South Local Government,"immunization policy, compliance, vaccination coverage, Osun, communities",2015,Prof. Adewale,Health Policy
A Cross-Sectional Study of Solid Waste Management Practices and Health Implications in Osogbo Urban Local Government Area Among Residents of Iwo Local Government,"solid waste, management, health implications, Osogbo, urban",2020,Prof. Okafor,Environmental Health
Prevalence and Risk Factors of Hypertension Among Adult Residents in Osun State Communities,"hypertension, prevalence, risk factors, adults, Osun State",2018,Prof. Adeleke,Epidemiology
Comparative Study of Under-Five Malnutrition Prevalence and Its Relationship with Household Food Security in Nigeria Among Residents of Ilesha Local Government,"malnutrition, under-five, food security, household, Nigeria",2020,Prof. Obiora,Maternal & Child Health
Comparative Study of Environmental Health Impact Assessment of a Proposed Industrial Estate in Osun State Nigeria Among Residents of Ilesa Local Government,"environmental health impact, industrial estate, assessment, Osun State, Nigeria",2016,Prof. Nwosu,Environmental Health
Hospital-Based Assessment of Application of Machine Learning Algorithms in Predicting Hypertension Onset in Nigerian Adults Among Residents of Ife North Local Government,"machine learning, hypertension prediction, Nigerian adults, algorithms, biostatistics",2018,Dr. Agboola,Biostatistics
Hospital-Based Assessment of Heavy Metal Contamination of Borehole Water Sources in Industrial Areas of Osun State Nigeria Among Residents of Ife East Local Government,"heavy metals, borehole, contamination, industrial, water safety",2017,Dr. Oluwaseun,Environmental Health
A Descriptive Analysis of Evaluation of Community Health Workers Policy and Its Impact on Rural Health Outcomes Among Residents of Boripe Local Government,"community health workers, policy evaluation, rural health, outcomes",2015,Dr. Agboola,Health Policy
A Cross-Sectional Study of Multidrug-Resistant Tuberculosis Prevalence and Treatment Outcomes in Southwest Nigeria Hospitals Among Residents of Iwo Local Government,"multidrug-resistant tuberculosis, MDR-TB, prevalence, treatment, Southwest Nigeria",2016,Dr. Igwe,Infectious Diseases
Retrospective Review of Mercury Exposure and Health Risk Assessment Among Residents of Ife East Local Government,"mercury exposure, gold mining, health risk, artisanal, Osun State",2018,Prof. Onyeka,Environmental Health
Longitudinal Investigation of Prevalence of Anaemia and Associated Factors Among Residents of Ife East Local Government,"anaemia, pregnant women, prevalence, Ijesa Zone, Nigeria",2022,Dr. Igwe,Epidemiology
An Exploratory Analysis of Regulatory Framework for Traditional Medicine Practice in Osun State Health Policy Context Among Residents of Ife South Local Government,"traditional medicine, regulation, policy, Osun State, practice",2020,Prof. Obiora,Health Policy
An Exploratory Analysis of Spatial Distribution and Seasonal Variation of Cholera Outbreaks in Osun State Nigeria Among Residents of Ife East Local Government,"cholera, spatial distribution, seasonal variation, outbreak, Nigeria",2016,Prof. Ogunleye,Epidemiology
Longitudinal Investigation of Evaluation of Drinking Water Treatment Practices in Households of Peri-Urban Osun State Communities Among Residents of Ilesa Local Government,"drinking water, treatment practices, households, peri-urban, Osun",2022,Dr. Nnamdi,Environmental Health
Epidemiology of Mental Health Disorders Among Adults Attending General Hospitals in Osun State,"mental health, epidemiology, adults, general hospital, disorders",2015,Dr. Abiodun,Epidemiology
Longitudinal Investigation of Mixed-Effects Modelling of Longitudinal Blood Pressure Data Among Residents of Ife South Local Government,"mixed-effects model, longitudinal, blood pressure, hypertension, Osogbo",2022,Dr. Salawu,Biostatistics
Comparative Study of Vector Breeding Site Assessment and Malaria Risk in Flood-Prone Areas of Osun State Nigeria Among Residents of Iwo Local Government,"vector breeding, malaria risk, flood-prone, Osun State, assessment",2019,Prof. Adeoti,Environmental Health
Comparative Study of Assessment of Household Water Quality and Waterborne Disease Risk in Peri-Urban Osogbo Nigeria Among Residents of Ilesha Local Government,"water quality, household, waterborne disease, peri-urban, Osogbo",2015,Prof. Afolabi,Environmental Health
A Descriptive Analysis of Dengue Fever Seroprevalence and Associated Risk Factors in Flood-Prone Areas of Osun State Among Residents of Ede Local Government,"dengue fever, seroprevalence, flood-prone, risk factors, Osun",2019,Prof. Afolabi,Epidemiology
Assessment of Meningitis Outbreak Response and Control Measures in Northern Osun Communities,"meningitis, outbreak, response, control, Osun",2020,Dr. Abiodun,Epidemiology
An Exploratory Analysis of Time Series Analysis of Seasonal Malaria Trends in Osun State Using ARIMA Models Among Residents of Iwo Local Government,"time series, ARIMA, seasonal malaria, trends, Osun State",2019,Dr. Abiodun,Biostatistics
Community-Based Study on Application of Poisson Regression in Modelling Infectious Disease Count Data in Nigeria Among Residents of Ejigbo Local Government,"Poisson regression, infectious disease, count data, modelling, Nigeria",2022,Dr. Babatunde,Biostatistics
Longitudinal Investigation of Child Immunization Coverage and Barriers to Vaccine Uptake in Osun State Local Government Areas Among Residents of Ede Local Government,"immunization, coverage, barriers, vaccine uptake, Osun State",2019,Prof. Adebayo,Maternal & Child Health
Hospital-Based Assessment of Health Financing Strategies and Their Effect on Out-of-Pocket Expenditure in Osun State Among Residents of Ilesa Local Government,"health financing, out-of-pocket, expenditure, Osun State, strategy",2022,Prof. Adebayo,Health Policy
Community-Based Study on Malaria Parasite Density and Treatment Outcomes Among Residents of Ilesha Local Government,"malaria, parasite density, treatment outcomes, children, UNIOSUN",2015,Prof. Adeoti,Infectious Diseases
Comparative Study of Impact of Free Maternal Health Policy on Antenatal Care Utilization in Osun State Nigeria Among Residents of Ilesha Local Government,"maternal health policy, antenatal care, utilization, free health, Osun",2016,Prof. Fasola,Health Policy
Hospital-Based Assessment of Tobacco Control Policy Awareness and Compliance Among Residents of Ejigbo Local Government,"tobacco control, policy compliance, market vendors, Osogbo, awareness",2017,Dr. Oluwaseun,Health Policy
An Exploratory Analysis of Sensitivity and Specificity Analysis of Diagnostic Tests for Malaria in UNIOSUN Teaching Hospital Among Residents of Ilesa Local Government,"sensitivity, specificity, diagnostic tests, malaria, UNIOSUN",2021,Dr. Igwe,Biostatistics
Community-Based Study on Mercury Exposure and Health Risk Assessment Among Residents of Ife South Local Government,"mercury exposure, gold mining, health risk, artisanal, Osun State",2022,Prof. Adeoti,Environmental Health
A Cross-Sectional Study of Indoor Air Pollution from Biomass Fuel Use and Respiratory Health Among Residents of Ife East Local Government,"indoor air pollution, biomass fuel, respiratory health, women, rural",2017,Prof. Ogunleye,Environmental Health
E-Waste Disposal Practices and Toxic Exposure Among Informal Recyclers in Southwest Nigeria,"e-waste, disposal, toxic exposure, informal recyclers, Southwest Nigeria",2021,Prof. Adesanya,Environmental Health
Longitudinal Investigation of Impact of Flooding Events on Waterborne Disease Incidence in Osun State Flood Corridors Among Residents of Ife South Local Government,"flooding, waterborne disease, incidence, Osun State, flood corridors",2019,Prof. Nwosu,Environmental Health
Pattern of Morbidity and Mortality from Communicable Diseases in Osogbo Metropolis,"morbidity, mortality, communicable diseases, Osogbo, pattern",2016,Prof. Fasola,Epidemiology
Hospital-Based Assessment of Prevalence of Hepatitis C Virus Antibodies Among Residents of Boripe Local Government,"hepatitis C, prevalence, antibodies, surgical wards, Osogbo",2018,Dr. Abiodun,Infectious Diseases
Epidemiological Investigation of Malaria Burden Among Children Under Five Years in Rural Nigeria,"malaria, children, epidemiology, rural, Nigeria",2022,Dr. Nwachukwu,Epidemiology
A Descriptive Analysis of Gender-Responsive Health Policy Analysis and Women Empowerment in Osun State Communities Among Residents of Iwo Local Government,"gender-responsive, health policy, women empowerment, Osun, analysis",2015,Dr. Oluwaseun,Health Policy
Sample Size Determination and Power Analysis in Public Health Research Studies at Nigerian Universities,"sample size, power analysis, public health research, Nigeria, biostatistics",2017,Prof. Onyeka,Biostatistics
Retrospective Review of Vector Breeding Site Assessment and Malaria Risk in Flood-Prone Areas of Osun State Nigeria Among Residents of Ejigbo Local Government,"vector breeding, malaria risk, flood-prone, Osun State, assessment",2020,Prof. Eze,Environmental Health
An Exploratory Analysis of Dengue Fever Seroprevalence and Associated Risk Factors in Flood-Prone Areas of Osun State Among Residents of Osogbo Local Government,"dengue fever, seroprevalence, flood-prone, risk factors, Osun",2020,Dr. Olayinka,Epidemiology
Hospital-Based Assessment of Spatial Distribution and Seasonal Variation of Cholera Outbreaks in Osun State Nigeria Among Residents of Ife South Local Government,"cholera, spatial distribution, seasonal variation, outbreak, Nigeria",2017,Dr. Adeyemi,Epidemiology
A Cross-Sectional Study of Assessment of Exclusive Breastfeeding Practices and Infant Nutritional Outcomes in Osun State Among Residents of Osogbo Local Government,"exclusive breastfeeding, infant nutrition, practices, Osun State, outcomes",2016,Dr. Agboola,Maternal & Child Health
Longitudinal Investigation of E-Waste Disposal Practices and Toxic Exposure Among Residents of Boripe Local Government,"e-waste, disposal, toxic exposure, informal recyclers, Southwest Nigeria",2021,Dr. Adeyemi,Environmental Health
Infant and Young Child Feeding Practices Among Urban Mothers in Osogbo Local Government Area,"infant feeding, young child, practices, urban mothers, Osogbo",2020,Prof. Adeleke,Maternal & Child Health
A Descriptive Analysis of Epidemiology of Salmonella Infections and Outbreak Investigation in Osun State Communities Among Residents of Ede Local Government,"Salmonella, infections, outbreak investigation, Osun State, epidemiology",2021,Dr. Salawu,Infectious Diseases
Community-Based Study on Knowledge Attitude and Practice Regarding Lassa Fever Prevention Among Residents of Osogbo Local Government,"Lassa fever, knowledge, attitude, practice, healthcare workers",2016,Prof. Adebayo,Infectious Diseases
Hospital-Based Assessment of Evaluation of Rapid Diagnostic Test Use for Malaria Case Management in Osun Primary Health Centers Among Residents of Ilesa Local Government,"rapid diagnostic test, malaria, case management, primary health, Osun",2021,Prof. Onyeka,Infectious Diseases
Tuberculosis Treatment Default Rate and Associated Factors in DOTS Centres Osun State Nigeria,"tuberculosis, treatment default, DOTS, Osun State, associated factors",2020,Prof. Fasola,Infectious Diseases
Longitudinal Investigation of Assessment of Childhood Immunization Against Vaccine-Preventable Diseases in UNIOSUN Catchment Areas Among Residents of Ife North Local Government,"childhood immunization, vaccine-preventable diseases, UNIOSUN, catchment area",2018,Prof. Obiora,Infectious Diseases
Retrospective Review of Cultural Beliefs and Practices Influencing Maternal Healthcare Decision-Making in Ife South Communities Among Residents of Ejigbo Local Government,"cultural beliefs, maternal healthcare, decision-making, Ife South, practices",2021,Prof. Fasola,Maternal & Child Health
Analysis of Drug Procurement Policy and Essential Medicines Availability at Public Health Facilities,"drug procurement, essential medicines, policy, availability, public health",2017,Dr. Abiodun,Health Policy
Comparative Study of Contact Tracing Effectiveness and Outcomes in Tuberculosis Case Detection in Osun State Nigeria Among Residents of Ede Local Government,"contact tracing, tuberculosis, case detection, outcomes, Osun State",2020,Dr. Olayinka,Infectious Diseases
Spatial Distribution and Seasonal Variation of Cholera Outbreaks in Osun State Nigeria,"cholera, spatial distribution, seasonal variation, outbreak, Nigeria",2021,Prof. Eze,Epidemiology
Assessment of Toilet Facilities Adequacy and Sanitation-Related Diseases in Rural Osun Communities,"toilet facilities, sanitation, rural, diseases, assessment",2018,Prof. Eze,Environmental Health
A Cross-Sectional Study of Antibiotic Resistance Patterns of Bacterial Isolates from Urinary Tract Infections in Osun Hospitals Among Residents of Ilesa Local Government,"antibiotic resistance, bacterial isolates, urinary tract infection, Osun, hospitals",2018,Dr. Salawu,Infectious Diseases
Community-Based Study on Application of Logistic Regression in Predicting Malaria Risk Factors Among Residents of Ilesha Local Government,"logistic regression, malaria risk, prediction, children, biostatistics",2022,Prof. Ogunleye,Biostatistics
Community-Based Study on Coverage and Equity of Childhood Vaccination Services in Hard-to-Reach Areas of Osun State Among Residents of Ife South Local Government,"childhood vaccination, coverage, equity, hard-to-reach, Osun State",2017,Dr. Oluwaseun,Maternal & Child Health
Determinants of Skilled Birth Attendance Utilization Among Parturient Women in Osun State Nigeria,"skilled birth attendance, determinants, parturient women, Osun State",2016,Dr. Folarin,Maternal & Child Health
Comparative Study of Statistical Modelling of Maternal Mortality Predictors at UNIOSUN Teaching Hospital Nigeria Among Residents of Ilesha Local Government,"statistical modelling, maternal mortality, predictors, UNIOSUN, Nigeria",2019,Dr. Akinwande,Biostatistics
A Descriptive Analysis of Pattern of Morbidity and Mortality from Communicable Diseases in Osogbo Metropolis Among Residents of Ejigbo Local Government,"morbidity, mortality, communicable diseases, Osogbo, pattern",2022,Prof. Afolabi,Epidemiology
Comparative Study of Vector Breeding Site Assessment and Malaria Risk in Flood-Prone Areas of Osun State Nigeria Among Residents of Ede Local Government,"vector breeding, malaria risk, flood-prone, Osun State, assessment",2019,Dr. Nnamdi,Environmental Health
Community-Based Study on Mixed-Effects Modelling of Longitudinal Blood Pressure Data Among Residents of Ife East Local Government,"mixed-effects model, longitudinal, blood pressure, hypertension, Osogbo",2020,Prof. Onyeka,Biostatistics
Comparative Study of Prevalence and Genotyping of Human Papillomavirus Among Residents of Osogbo Local Government,"human papillomavirus, cervical cancer, genotyping, screening, prevalence",2019,Dr. Agboola,Infectious Diseases
Community-Based Study on Socioeconomic Factors and Teenage Pregnancy Prevalence Among Residents of Ejigbo Local Government,"teenage pregnancy, socioeconomic, secondary school, prevalence, Osun State",2019,Prof. Adesanya,Maternal & Child Health
A Descriptive Analysis of Trend Analysis of Tuberculosis Case Notifications in Osun State Over a Ten-Year Period Among Residents of Iwo Local Government,"tuberculosis, trend analysis, case notification, Osun State",2016,Prof. Okafor,Epidemiology
Hospital-Based Assessment of Health Financing Strategies and Their Effect on Out-of-Pocket Expenditure in Osun State Among Residents of Iwo Local Government,"health financing, out-of-pocket, expenditure, Osun State, strategy",2018,Prof. Emeka,Health Policy
Comparative Study of Obstetric Complications and Emergency Referral Patterns at UNIOSUN Teaching Hospital Osogbo Among Residents of Ife South Local Government,"obstetric complications, emergency referral, UNIOSUN, teaching hospital, Osogbo",2017,Prof. Adebayo,Maternal & Child Health
Mercury Exposure and Health Risk Assessment Among Artisanal Gold Miners in Osun State Nigeria,"mercury exposure, gold mining, health risk, artisanal, Osun State",2022,Prof. Obiora,Environmental Health
Assessment of Primary Healthcare Governance and Accountability Mechanisms in Southwest Nigeria,"primary healthcare, governance, accountability, Southwest Nigeria, policy",2015,Prof. Bankole,Health Policy
Kaplan-Meier Analysis of Survival Among Tuberculosis Patients Enrolled in DOTS Programme Osun State,"Kaplan-Meier, survival analysis, tuberculosis, DOTS, Osun State",2016,Dr. Agboola,Biostatistics
Longitudinal Investigation of Intestinal Parasitic Infections Among Residents of Ilesa Local Government,"intestinal parasites, schoolchildren, environmental risk, infections, Osun",2017,Prof. Afolabi,Infectious Diseases
Longitudinal Investigation of Disease Burden of Sickle Cell Disorder Among Residents of Iwo Local Government,"sickle cell, disease burden, university students, UNIOSUN",2021,Dr. Nnamdi,Epidemiology
A Cross-Sectional Study of Prevalence and Risk Factors of Hypertension Among Residents of Iwo Local Government,"hypertension, prevalence, risk factors, adults, Osun State",2019,Dr. Nnamdi,Epidemiology
A Cross-Sectional Study of Indoor Air Pollution from Biomass Fuel Use and Respiratory Health Among Residents of Boripe Local Government,"indoor air pollution, biomass fuel, respiratory health, women, rural",2016,Dr. Adeyemi,Environmental Health
Assessment of Kangaroo Mother Care Practice and Neonatal Outcomes in Osun State Hospitals,"kangaroo mother care, neonatal outcomes, practice, Osun State, hospitals",2017,Prof. Eze,Maternal & Child Health
Comparative Study of Epidemiological Investigation of Malaria Burden Among Residents of Ejigbo Local Government,"malaria, children, epidemiology, rural, Nigeria",2015,Dr. Akinwande,Epidemiology
Hospital-Based Assessment of Anemia in Pregnancy Prevalence and Its Effect on Birth Outcomes in Southwest Nigerian Hospitals Among Residents of Ife North Local Government,"anaemia in pregnancy, birth outcomes, Southwest Nigeria, hospitals, prevalence",2015,Dr. Babatunde,Maternal & Child Health
Hospital-Based Assessment of Sensitivity and Specificity Analysis of Diagnostic Tests for Malaria in UNIOSUN Teaching Hospital Among Residents of Ife East Local Government,"sensitivity, specificity, diagnostic tests, malaria, UNIOSUN",2020,Prof. Adesanya,Biostatistics
A Descriptive Analysis of Spatial Distribution and Seasonal Variation of Cholera Outbreaks in Osun State Nigeria Among Residents of Osogbo Local Government,"cholera, spatial distribution, seasonal variation, outbreak, Nigeria",2015,Prof. Bankole,Epidemiology
Retrospective Review of Spatial Analysis of Malaria Incidence Using Geographic Information Systems in Osun State Among Residents of Osogbo Local Government,"spatial analysis, GIS, malaria incidence, Osun State, geographic",2021,Prof. Okafor,Biostatistics
A Descriptive Analysis of Systematic Review and Meta-Analysis of Hypertension Prevalence Studies in Southwest Nigeria Among Residents of Ilesa Local Government,"systematic review, meta-analysis, hypertension, prevalence, Southwest Nigeria",2022,Dr. Salawu,Biostatistics
A Cross-Sectional Study of Assessment of Meningitis Outbreak Response and Control Measures in Northern Osun Communities Among Residents of Ilesha Local Government,"meningitis, outbreak, response, control, Osun",2017,Prof. Bankole,Epidemiology
Retrospective Review of E-Waste Disposal Practices and Toxic Exposure Among Residents of Ilesha Local Government,"e-waste, disposal, toxic exposure, informal recyclers, Southwest Nigeria",2020,Prof. Adebayo,Environmental Health
A Cross-Sectional Study of Assessment of Exclusive Breastfeeding Practices and Infant Nutritional Outcomes in Osun State Among Residents of Ejigbo Local Government,"exclusive breastfeeding, infant nutrition, practices, Osun State, outcomes",2015,Dr. Akindele,Maternal & Child Health
Comparative Study of COVID-19 Infection Patterns and Mortality Outcomes in Osun State Isolation Centers 2020-2021 Among Residents of Ife East Local Government,"COVID-19, infection patterns, mortality, isolation centers, Osun State",2015,Prof. Adeoti,Infectious Diseases
An Exploratory Analysis of Policy Analysis of Community Health Extension Worker Deployment in Rural Osun State Communities Among Residents of Ife South Local Government,"CHEW, deployment, health policy, rural, community health",2018,Prof. Okafor,Health Policy
Retrospective Review of Principal Component Analysis of Socioeconomic Determinants of Health Outcomes in Southwest Nigeria Among Residents of Ife South Local Government,"principal component analysis, socioeconomic determinants, health outcomes, Nigeria",2018,Prof. Eze,Biostatistics
Hospital-Based Assessment of Solid Waste Management Practices and Health Implications in Osogbo Urban Local Government Area Among Residents of Ede Local Government,"solid waste, management, health implications, Osogbo, urban",2022,Prof. Onyeka,Environmental Health
A Cross-Sectional Study of Burden of Non-Communicable Diseases Among Residents of Ede Local Government,"non-communicable diseases, burden, middle-aged, Southwest Nigeria",2020,Prof. Okafor,Epidemiology
Community-Based Study on Cluster Analysis Identification of High-Risk Communities for Malaria in Osun State Using Health Data Among Residents of Ede Local Government,"cluster analysis, high-risk communities, malaria, health data, Osun State",2021,Dr. Abiodun,Biostatistics
Disease Burden of Sickle Cell Disorder Among University Students in UNIOSUN Osogbo Campus,"sickle cell, disease burden, university students, UNIOSUN",2022,Dr. Salawu,Epidemiology
Factors Influencing Antenatal Care Attendance Among Pregnant Women in Rural Osun Communities,"antenatal care, attendance, pregnant women, rural, Osun",2020,Prof. Eze,Maternal & Child Health
Retrospective Review of Malaria Parasite Density and Treatment Outcomes Among Residents of Ife South Local Government,"malaria, parasite density, treatment outcomes, children, UNIOSUN",2022,Prof. Fasola,Infectious Diseases
Policy Implementation Fidelity of the Integrated Disease Surveillance Response System in Nigeria,"IDSR, policy implementation, disease surveillance, fidelity, Nigeria",2015,Dr. Akinwande,Health Policy
Comparative Study of Effectiveness of the Basic Healthcare Provision Fund in Strengthening Primary Health Centers Among Residents of Osogbo Local Government,"basic healthcare fund, PHC, effectiveness, primary health, strengthening",2020,Dr. Agboola,Health Policy
Comparative Study of Principal Component Analysis of Socioeconomic Determinants of Health Outcomes in Southwest Nigeria Among Residents of Boripe Local Government,"principal component analysis, socioeconomic determinants, health outcomes, Nigeria",2017,Prof. Adeoti,Biostatistics
Hospital-Based Assessment of Impact of Open Defecation on Child Diarrhoeal Diseases in Rural Communities of Osun State Among Residents of Ife East Local Government,"open defecation, diarrhoea, children, rural, sanitation",2020,Dr. Agboola,Environmental Health
Hospital-Based Assessment of Review of Immunization Policy Compliance and Vaccination Coverage in Osun State Communities Among Residents of Ife East Local Government,"immunization policy, compliance, vaccination coverage, Osun, communities",2017,Prof. Okafor,Health Policy
Comparative Study of Socioeconomic Factors and Teenage Pregnancy Prevalence Among Residents of Ejigbo Local Government,"teenage pregnancy, socioeconomic, secondary school, prevalence, Osun State",2018,Dr. Oluwaseun,Maternal & Child Health
Statistical Modelling of Maternal Mortality Predictors at UNIOSUN Teaching Hospital Nigeria,"statistical modelling, maternal mortality, predictors, UNIOSUN, Nigeria",2021,Dr. Nwachukwu,Biostatistics
Community-Based Study on Dengue Fever Seroprevalence and Associated Risk Factors in Flood-Prone Areas of Osun State Among Residents of Ede Local Government,"dengue fever, seroprevalence, flood-prone, risk factors, Osun",2021,Prof. Adeleke,Epidemiology
An Exploratory Analysis of Seroprevalence of Hepatitis B Virus Infection Among Residents of Ilesha Local Government,"hepatitis B, seroprevalence, blood donors, teaching hospital",2018,Prof. Eze,Epidemiology
Antiretroviral Therapy Adherence and Viral Load Suppression Among HIV Patients in Osun State,"antiretroviral therapy, adherence, viral load, HIV patients, Osun State",2021,Dr. Olayinka,Infectious Diseases
An Exploratory Analysis of Gestational Diabetes Prevalence and Management Practices Among Residents of Ilesa Local Government,"gestational diabetes, prevalence, management, pregnant women, Osogbo",2017,Prof. Afolabi,Maternal & Child Health
Hospital-Based Assessment of Infant and Young Child Feeding Practices Among Residents of Ilesha Local Government,"infant feeding, young child, practices, urban mothers, Osogbo",2016,Prof. Onyeka,Maternal & Child Health
A Descriptive Analysis of Nutritional Status and Cognitive Development Among Residents of Osogbo Local Government,"nutritional status, cognitive development, primary school, children, Osun",2015,Dr. Okonkwo,Maternal & Child Health
Application of Machine Learning Algorithms in Predicting Hypertension Onset in Nigerian Adults,"machine learning, hypertension prediction, Nigerian adults, algorithms, biostatistics",2022,Dr. Chukwu,Biostatistics
Developing a Predictive Scoring Tool for Maternal Complications Using Routine Obstetric Data Nigeria,"predictive scoring, maternal complications, routine data, obstetric, Nigeria",2017,Dr. Okonkwo,Biostatistics
Retrospective Review of Community-Based Assessment of Stroke Risk Factors Among Residents of Ilesha Local Government,"stroke, risk factors, elderly, community, Ife North",2016,Prof. Bankole,Epidemiology
Longitudinal Investigation of Incidence and Distribution of Typhoid Fever Cases Reported in UNIOSUN Teaching Hospital Among Residents of Boripe Local Government,"typhoid fever, incidence, hospital, distribution, surveillance",2019,Dr. Agboola,Epidemiology
A Descriptive Analysis of Effect of Male Partner Involvement on Maternal Health Service Utilization in Osun State Communities Among Residents of Ejigbo Local Government,"male involvement, maternal health, service utilization, Osun State, partner",2017,Prof. Adebayo,Maternal & Child Health
Evaluation of Rapid Diagnostic Test Use for Malaria Case Management in Osun Primary Health Centers,"rapid diagnostic test, malaria, case management, primary health, Osun",2021,Dr. Olayinka,Infectious Diseases
Hospital-Based Assessment of Heavy Metal Contamination of Borehole Water Sources in Industrial Areas of Osun State Nigeria Among Residents of Ejigbo Local Government,"heavy metals, borehole, contamination, industrial, water safety",2015,Dr. Chukwu,Environmental Health
A Cross-Sectional Study of Assessment of Meningitis Outbreak Response and Control Measures in Northern Osun Communities Among Residents of Ejigbo Local Government,"meningitis, outbreak, response, control, Osun",2018,Prof. Eze,Epidemiology
Comparative Study of Policy Implementation Fidelity of the Integrated Disease Surveillance Response System in Nigeria Among Residents of Ife East Local Government,"IDSR, policy implementation, disease surveillance, fidelity, Nigeria",2020,Prof. Adeleke,Health Policy
Community-Based Study on Incidence and Distribution of Typhoid Fever Cases Reported in UNIOSUN Teaching Hospital Among Residents of Ife North Local Government,"typhoid fever, incidence, hospital, distribution, surveillance",2022,Dr. Nnamdi,Epidemiology
Structural Equation Modelling of Social Determinants Affecting Health Outcomes in Osun State Nigeria,"structural equation modelling, social determinants, health outcomes, Osun, Nigeria",2018,Dr. Oluwaseun,Biostatistics
An Exploratory Analysis of Intersectoral Collaboration for Social Determinants of Health Policy in Southwest Nigeria Among Residents of Ejigbo Local Government,"intersectoral collaboration, social determinants, health policy, Southwest Nigeria",2022,Prof. Adebayo,Health Policy
Hospital-Based Assessment of Tobacco Control Policy Awareness and Compliance Among Residents of Ejigbo Local Government,"tobacco control, policy compliance, market vendors, Osogbo, awareness",2020,Dr. Nwachukwu,Health Policy
A Cross-Sectional Study of Statistical Modelling of Maternal Mortality Predictors at UNIOSUN Teaching Hospital Nigeria Among Residents of Osogbo Local Government,"statistical modelling, maternal mortality, predictors, UNIOSUN, Nigeria",2016,Prof. Eze,Biostatistics
Community-Based Study on Epidemiological Investigation of Malaria Burden Among Residents of Iwo Local Government,"malaria, children, epidemiology, rural, Nigeria",2018,Prof. Obiora,Epidemiology
Longitudinal Investigation of Epidemiological Assessment of Childhood Pneumonia Cases in UNIOSUN Teaching Hospital Outpatients Among Residents of Ejigbo Local Government,"pneumonia, childhood, epidemiology, teaching hospital, outpatients",2015,Prof. Adeleke,Epidemiology
Hospital-Based Assessment of Epidemiology of Salmonella Infections and Outbreak Investigation in Osun State Communities Among Residents of Boripe Local Government,"Salmonella, infections, outbreak investigation, Osun State, epidemiology",2015,Dr. Folarin,Infectious Diseases
Impact of Free Maternal Health Policy on Antenatal Care Utilization in Osun State Nigeria,"maternal health policy, antenatal care, utilization, free health, Osun",2022,Prof. Okafor,Health Policy
Hospital-Based Assessment of Evaluation of Rapid Diagnostic Test Use for Malaria Case Management in Osun Primary Health Centers Among Residents of Osogbo Local Government,"rapid diagnostic test, malaria, case management, primary health, Osun",2018,Prof. Fasola,Infectious Diseases
Knowledge Attitude and Practice Regarding Lassa Fever Prevention Among Healthcare Workers in Osun,"Lassa fever, knowledge, attitude, practice, healthcare workers",2019,Dr. Okonkwo,Infectious Diseases
Longitudinal Investigation of Policy Analysis of Community Health Extension Worker Deployment in Rural Osun State Communities Among Residents of Ilesha Local Government,"CHEW, deployment, health policy, rural, community health",2017,Dr. Nnamdi,Health Policy
Longitudinal Investigation of Lead Exposure Assessment and Neurological Effects Among Residents of Ife North Local Government,"lead exposure, neurological effects, children, battery recycling, assessment",2020,Prof. Onyeka,Environmental Health
Longitudinal Investigation of Lead Exposure Assessment and Neurological Effects Among Residents of Ejigbo Local Government,"lead exposure, neurological effects, children, battery recycling, assessment",2015,Prof. Afolabi,Environmental Health
Community-Based Study on Determinants of Skilled Birth Attendance Utilization Among Residents of Ife South Local Government,"skilled birth attendance, determinants, parturient women, Osun State",2017,Prof. Nwosu,Maternal & Child Health
Knowledge and Practice of Family Planning Methods Among Married Women in Ife Central Nigeria,"family planning, knowledge, practice, married women, Ife Central",2016,Dr. Igwe,Maternal & Child Health
Community-Based Study on Chemical Pesticide Use Patterns and Chronic Health Effects Among Residents of Osogbo Local Government,"pesticide, chemical exposure, agricultural workers, chronic health, Osun",2022,Prof. Adebayo,Environmental Health
